sp_id,sp_imagenes_de_la_especie,sp_taxonomia_familia,sp_taxonomia_orden,title,sp_nombre_cientifico,sp_nombre_comun,sp_nombres_comunes_locales,sp_nombres_comunes_ingles,sp_nombres_comunes_portugues,sp_taxonomia_comentarios,sp_eval_conserv_argentina,sp_cat_nac_conserv_2019,sp_cat_nac_conserv_2019_criterio,sp_cat_nac_conserv_2019_justific,group_sp_eval_subpob,sp_cat_sayds_conserv_2004,sp_cat_nac_conserv_1997,sp_cat_nac_conserv_1997_hom,sp_cat_nac_conserv_2000,sp_cat_nac_conserv_2012,sp_cat_nac_conserv_1997_criterio,sp_cat_nac_conserv_2000_criterio,sp_cat_nac_conserv_2012_criterio,group_sp_eval_paises_vecinos,sp_eval_global_iucn_categoria,sp_eval_global_iucn_criterios,sp_eval_global_iucn_anio,sp_tendencia_poblacional,sp_tendencia_poblacional_coment,sp_n_de_individuos_maduros,sp_n_de_individuos_maduros_nd,sp_n_de_indiv_maduros_coment,sp_estudios_de_pva,sp_tiempo_generacional,sp_tiempo_generacional_nd,sp_tiempo_generacional_justific,sp_reduccion_poblacional,sp_aumento_poblacional,sp_variabilidad_genetica,sp_tamanio_pob_efectivo,sp_tamanio_pob_efectivo_coment,sp_tamanio_pob_efectivo_nd,sp_eoo,sp_eoo_nd,sp_eoo_comentarios,sp_aoo,sp_aoo_nd,sp_distribuida_en_numero_de_loc,sp_severam_fragmentada,sp_severam_fragmentada_coment,sp_dismin_contin_de_eoo,sp_dismin_contin_de_aoo,sp_dismin_contin_calidad_de_hab,sp_dismin_contin_de_loc_o_subpob,sp_dismin_contin_de_indiv_maduro,sp_fluct_extrem_en_eoo,sp_fluct_extrem_en_aoo,sp_fluct_extrem_loc_o_subp,sp_fluct_extrem_en_indiv_maduros,sp_residente_migrante_o_errante,sp_distribucion_historica_coment,sp_presencia_confirmada_por_pcia,sp_presencia_dudosa_por_pcia,sp_confirmada_por_ecorreg_de_arg,sp_dudosa_por_ecorreg_de_arg,sp_dudosa_por_ecorreg_terres,sp_confirmada_por_ecorreg_terres,sp_dudosa_por_ecorreg_marina,sp_confirmada_por_ecorreg_marina,sp_patron_de_distribucion,sp_distribucion_endemismo,sp_numero_de_localidades,sp_rango_altitudinal,sp_rango_de_profundidad,sp_abundancia,sp_abundancia_comentarios,sp_programas_de_monitoreo_coment,sp_peso,sp_peso_de_la_hembra,sp_peso_del_macho,sp_peso_comentarios,sp_habito_habitat_y_dieta_coment,sp_habitos,sp_habitos_especializados,sp_habitat_selvas_o_bosques,sp_habitat_arbustales,sp_habitat_pastizales,sp_habitat_rupestre,sp_habitat_estepas,sp_habitat_lagos_o_lagunas,sp_habitat_rios_o_arroyos,sp_habitat_palustre,sp_habitat_costero,sp_habitat_oceanico,sp_habitat_cultivos_agricolas,sp_habitat_forestaciones,sp_habitat_pasturas_ganaderas,sp_habitat_embalses_o_diques,sp_habitat_urbano_o_periurbano,sp_habitat_canales_artificiales,sp_tolerancia_a_hab_antropizados,sp_dieta,sp_dieta_especializada,sp_dieta_especializada_otra,sp_habitos_especializados_otro,sp_aspectos_reproductivos,sp_patron_de_actividad,sp_gregariedad,sp_area_de_accion,sp_tamanio_de_grupo,sp_tamanio_de_grupo_coment,sp_amenazas_perdida_de_habitat,sp_amenazas_degradac_de_habitat,sp_amenaza_fragmentacion_de_pob,sp_amenazas_contaminacion,sp_amenazas_especies_exoticas,sp_amenazas_perros,sp_amenazas_infraestructuras,sp_amenazas_turismo,sp_amenazas_caza_ilegal,sp_amenazas_caza_legal,sp_amenazas_captura_viva,sp_amenazas_reduccion_de_presas,sp_amenazas_atropellamiento,sp_amenazas_transportes_otras,sp_amenazas_incendios,sp_amenazas_inundaciones,sp_amenazas_enfermedades,sp_amenazas_humanas_indirectas,sp_amenazas_comentarios,sp_en_area_nat_protegida,sp_en_area_nat_protegida_coment,sp_marco_legal,sp_planes_de_conservacion,sp_programas_de_monitoreo,sp_necesidades_de_investigacion,sp_reintroducciones,sp_reintroducciones_comentarios,sp_usos_y_valores,sp_valorizacion_socioeconomica,sp_rol_ecologico_y_ecoservicios,sp_bibliografia_citada,sp_bibliografia_de_referencia,sp_autores_de_ficha,sp_colaboradores_de_ficha,sp_como_citar,sp_coordinadores_de_grupo,sp_revisores_de_ficha,sp_kml_archivo
611,,,,"Capra aegagrus hircus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Borghi, Carlos E.; Valenzuela, Alejandro E. J.; Kin, Marta Susana",,,,,"611 - Capra aegagrus.kml"
613,,,,"Equus ferus caballus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scorolli, Alberto; Borghi, Carlos E.; Aprile, Gustavo; Lartigau, Juan Manuel","Malmierca, Laura; Monteverde, Martín; Fasola, Laura ; Chalukián, Silvia",,,,"613 - Equus ferus caballus.kml"
614,,,,"Equus africanus asinus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Borghi, Carlos E.; Cirignoli, Sebastián; Aprile, Gustavo; Monteverde, Martín; Borgnia, Mariela ; Giménez, Sergio R.; Chalukián, Silvia","Cappa, Flavio M.",,,,"614 - Equus africanus asinus.kml"
615,,,,"Callosciurus erythraeus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Guichón, María Laura; Benítez, Verónica; Borgnia, Mariela ; Gozzi, Cecilia; Aprile, Gustavo; Pedreira, Paula",,,,,"615 - Callosciurus erythraeus_0.kml"
616,,,,"Castor canadensis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anderson, Christopher B. ; Deferrari, Guillermo; Escobar, Julio Martín; Lizarralde, Marta Susana; Roulier, Catherine; González Dubox, Cecilia","Lartigau, Juan Manuel",,,,"616 Castor canadensis.kml"
617,,,,"Ondatra zibethicus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Deferrari, Guillermo","Valenzuela, Alejandro E. J.",,,,"617 Ondatra zibethicus.kml"
618,,,,"Mus musculus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cavia, Regino; Gómez Villafañe, Isabel; Suárez, Olga Virginia; Gómez, María Daniela; Sánchez, Juliana; León, Vanina","Gonzalez Fischer, Carlos María; Massa, Carolina",,,,"618 - Mus musculus.kml"
619,,,,"Rattus norvegicus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cavia, Regino; Gómez Villafañe, Isabel; Suárez, Olga Virginia; Piudo, Luciana; Sánchez, Juliana; Monteverde, Martín",,,,,Rattus_norvegicus.kml
620,,,,"Rattus rattus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cavia, Regino; Gómez Villafañe, Isabel; Suárez, Olga Virginia; Piudo, Luciana; Sánchez, Juliana; Monteverde, Martín","Gonzalez Fischer, Carlos María; Massa, Carolina",,,,Rattus_rattus.kml
621,,,,"Lepus europaeus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Monteverde, Martín; Cirignoli, Sebastián; Bonino, Never; Gonzalez, Alejandro; Aprile, Gustavo","Borghi, Carlos E.; Kin, Marta Susana; Giannoni, Stella Maris; Funes, Martín; Valenzuela, Alejandro E. J.; Varela, Diego; Fasola, Laura",,,,"621 - Lepus europaeus.kml"
622,,,,"Oryctolagus cuniculus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cuevas, María Fernanda; Bonino, Never; Bobadilla, Yasmín ; Monteverde, Martín; Deferrari, Guillermo; Cirignoli, Sebastián; Chalukián, Silvia; Giannoni, Stella Maris; Giménez, Sergio R.; Valenzuela, Alejandro E. J.","Guichón, María Laura; Aschero, Valeria; Barros, Agustina; Novillo, Agustina",,,,"622 Oryctolagus cuniculus.kml"
